	KK_ans	KK_time		R1_RR_ans	R1_RR_time		R1_HC_ans	R1_HC_time		R1_SA_ans	R1_SA_time		R2_RR_ans	R2_RR_time		R2_HC_ans	R2_HC_time		R2_SA_ans	R2_SA_time
	92256	0.000602006912231		745176680	0.0631999969482		1664778784	0.0309200286865		2160145878	0.0322709083557		480	2.29149103165		17690	2.15408301353		522	2.22511005402
	64104	0.000603914260864		7607459758	0.063374042511		370275224	0.0308048725128		2722662474	0.0351819992065		1058	2.3262398243		9762	2.19603300095		394	2.23855900764
	75208	0.000590085983276		1062099490	0.0630888938904		175066500	0.0312211513519		2016188738	0.0425879955292		4850	2.30563688278		334	2.31010603905		94	2.21754097939
	71921	0.000593900680542		923192087	0.0631279945374		140832081	0.0309100151062		6713055809	0.0331618785858		71	2.30908513069		5255	2.19948887825		6723	2.22046399117
	71605	0.000625848770142		377057403	0.0622520446777		612513153	0.0310499668121		1033008809	0.0320751667023		3611	2.31179690361		1325	2.22230815887		1613	2.22343397141
	533079	0.000596046447754		638740827	0.062490940094		622381095	0.0306329727173		1555492513	0.0322709083557		811	2.33066105843		2897	2.26892614365		955	2.22786593437
	60091	0.000592947006226		8605253269	0.0626220703125		195085617	0.0313580036163		5584349075	0.0322539806366		2353	2.32224798203		4761	2.21918010712		1595	2.2359290123
	87817	0.000596046447754		2036905313	0.0625510215759		16104163	0.0308558940887		951519755	0.0321941375732		3061	2.31672596931		19	2.1650249958		511	2.22471499443
	129799	0.000601053237915		7166235659	0.0626530647278		1213590561	0.0311968326569		4169585267	0.0322709083557		263	2.29596400261		317	2.24643206596		35	2.24410605431
	225823	0.000595808029175		1086788225	0.0628051757812		139336229	0.0308358669281		3829720205	0.0321969985962		1221	2.29218912125		2811	2.25670790672		49	2.22612810135
	169894	0.000600099563599		1195766544	0.0628619194031		166432462	0.0308980941772		3936781386	0.0323159694672		256	2.29158997536		5446	2.17330503464		524	2.21234488487
	12711	0.000597953796387		171575963	0.0625081062317		1220831635	0.0319828987122		11925197875	0.0322778224945		2959	2.30403399467		5165	2.19710087776		1107	2.2567281723
	10266	0.000597953796387		1216954168	0.0628478527069		757629792	0.0309979915619		10168461972	0.0325319766998		94	2.30053305626		4080	2.21042895317		1578	2.2112660408
	1617090	0.000630140304565		166181748	0.0628969669342		3425817666	0.0312581062317		654766152	0.0322668552399		1564	2.31632995605		2626	2.14499998093		1008	2.22224521637
	186309	0.000588893890381		714646607	0.0628759860992		292373819	0.0310020446777		6072438367	0.0322599411011		7433	2.30998301506		227	2.24952101707		21	2.22025990486
	78468	0.000623941421509		1425111896	0.062803030014		985818610	0.0311720371246		4725723668	0.0323059558868		1428	2.29289698601		2364	2.2603199482		1184	2.23351097107
	125932	0.000627040863037		1283450032	0.0634748935699		1034611560	0.0310869216919		1876608032	0.0323331356049		916	2.28974604607		2536	2.22144198418		766	2.21819901466
	217444	0.000596046447754		2229746620	0.062716960907		3830881836	0.0309190750122		10762709114	0.032420873642		232	2.30550503731		680	2.38201808929		352	2.21667408943
	1649	0.000602006912231		4960199103	0.0627338886261		2385234885	0.0308339595795		3800230715	0.0322651863098		1533	2.29399490356		4031	2.23829603195		509	2.22094702721
	177981	0.000597953796387		917073739	0.0644030570984		283782427	0.0309031009674		904737409	0.0324649810791		187	2.31495499611		17523	2.23217105865		487	2.24690699577
	15190	0.000593900680542		84103822	0.0892181396484		4051777454	0.0311768054962		2185471460	0.0388870239258		858	2.3483479023		5850	2.21640396118		2418	2.22121286392
	54880	0.000594139099121		8023592496	0.0625929832458		623112464	0.0323889255524		3536507262	0.032261133194		2532	2.29961895943		8624	2.19508886337		1222	2.28757286072
	988117	0.00059700012207		1992699473	0.0628590583801		419453049	0.0314061641693		3970501363	0.0324168205261		223	2.30272006989		2437	2.22780108452		883	2.23648405075
	136419	0.000602006912231		1448120045	0.0627031326294		419138337	0.0312860012054		2556405979	0.0324318408966		1923	2.30785918236		2203	2.25267195702		3693	2.22240686417
	107022	0.000604152679443		671467848	0.0629620552063		1846284474	0.0315339565277		1817775036	0.0332269668579		1752	2.34045386314		2756	2.30224609375		3002	2.22759699821
	148308	0.000603914260864		120246490	0.0627470016479		134768134	0.0312302112579		5600704620	0.0323197841644		3190	2.30522894859		62	2.15931391716		510	2.22344398499
	38829	0.000599145889282		299004929	0.0628788471222		980468033	0.0310261249542		7960757495	0.0322790145874		847	2.30238199234		1071	2.1684961319		3153	2.23085403442
	269257	0.000594854354858		12560344323	0.0624260902405		2103036935	0.031044960022		2817336815	0.0322790145874		1801	2.29300999641		13257	2.09024810791		47	2.27090287209
	212943	0.000602960586548		2368693241	0.0657980442047		1781729069	0.0312860012054		1869307043	0.0322840213776		2999	2.31437683105		1999	2.25959610939		2347	2.21889305115
	766059	0.000598907470703		1487734489	0.0739710330963		13945033725	0.0314011573792		207464909	0.0354619026184		877	2.30159401894		1815	2.20531702042		1711	2.23242998123
	192227	0.000600099563599		338593111	0.0633850097656		1353611341	0.0311858654022		2390589413	0.0322871208191		2181	2.30186796188		3913	2.22261190414		535	2.23578882217
	277401	0.000607967376709		1265884259	0.0632381439209		26609251	0.0308668613434		208517481	0.0325510501862		771	2.28898215294		1247	2.24209403992		819	2.23220396042
	28794	0.000591039657593		166942668	0.0634689331055		1749565764	0.0310599803925		2068279354	0.0324411392212		2882	2.31878089905		1202	2.21616005898		1578	2.2228000164
	56341	0.000603914260864		577056179	0.0630519390106		166989097	0.0311858654022		1364611193	0.0322949886322		2615	2.29632902145		307	2.25694489479		1219	2.23327517509
	15873	0.000593900680542		5019168555	0.0632860660553		183434767	0.0310490131378		3294384627	0.0322341918945		1483	2.35425186157		5693	2.21394205093		2681	2.20613193512
	1401383	0.000620126724243		6103556203	0.0630700588226		1168778383	0.0310499668121		560896039	0.0323610305786		1651	2.34332895279		11423	2.16246604919		1311	2.31660103798
	35568	0.000598907470703		671494250	0.0629930496216		4112222156	0.0312349796295		2820232450	0.0351209640503		6320	2.41167902946		2038	2.2567460537		632	2.37858390808
